feature,shap_anom,shap_norm,ratio,cohens_d,p_value,r_pb,rash_anom,rash_norm,rash_d,rash_p
TS2,0.3409865795737934,0.37474309913046655,0.9099209041207165,-0.1736795632978482,0.0006001264459054513,-0.02171173860438369,0.12210499006726042,0.11242503696902917,0.28811166086755785,8.255201282627152e-09
TS3,0.013004499961611958,0.009293136978648534,1.3993660043417495,0.5045585031552842,2.693101312924638e-17,0.07537625599832555,0.013247452596215865,0.010367925673535255,0.3646737682789782,9.665419036989022e-11
TS4,0.02138289076459008,0.016957434157885354,1.2609744236952765,0.362732738164746,2.56852931025157e-10,0.052364714833586935,0.01868806179444468,0.013829627248284218,0.4238664529967247,2.4325794703189806e-11
TS5,0.018776300756068277,0.015655077763631422,1.1993744802525237,0.290511407159505,8.230030151877106e-07,0.044984414755717725,0.06357332494484756,0.053686082384808924,0.22678128573044481,0.0002913012829347869
TS6,0.575295495818378,0.569958212733691,1.0093643410436843,0.018686080186045048,0.701933512124761,0.0022706244138690256,0.09385549792934428,0.07683288479354476,0.3543797081445139,3.872546629872451e-12
TS7,0.00479312144245517,0.004690583885213277,1.0218602970869224,0.02387204617925,0.6226222269412198,0.002883271028187281,0.02007526227440023,0.019054195833071153,0.08847284296189008,0.10591173535121513
TS8,0.009223733585024648,0.008877950642274273,1.0389485092543604,0.04999818184508002,0.3075678788765316,0.006092866013664655,0.00899338183432317,0.008427975699805667,0.13074441080354163,0.014212167410228276
TS9,0.004972157061049537,0.003312201752274515,1.501163707082492,0.33276536508044063,1.8390921506691235e-08,0.051418044995764106,0.003883281954564866,0.002963677376523233,0.3301807786161839,1.2603664999245455e-08
TS10,0.00732467750402222,0.004630965409464677,1.5816739829350022,0.3651392078394946,6.933861125715568e-10,0.056067316419707566,0.015551176808882064,0.011837647009102488,0.3851444643492891,6.60539584475476e-11
TS11,0.008489588341630059,0.011890615315628888,0.7139738454469586,-0.4727438974143942,3.824390105214129e-22,-0.054773621795393364,0.01280306498189744,0.014571575216119782,-0.18406754541057138,0.00014052642208801022
TS12,0.010015890115309702,0.017412633520453625,0.5752082304807374,-0.4643040073001364,2.2055145723648758e-48,-0.044340915283525,0.01586971897256265,0.01867120121736276,-0.26169399510367186,9.152415929188318e-11
