feature,importance
|shap|_LightGBMXT_BAG_L2_TS11,48007.77185538004
mean_|shap|_TS5,34930.82684690459
|shap|_WeightedEnsemble_L2_TS9,25865.141422767076
rashomon_σ_TS10,19983.994408807484
mean_|shap|_TS12,17039.765063729603
|shap|_WeightedEnsemble_L3_TS12,15618.959553763969
|shap|_WeightedEnsemble_L2_TS5,14846.574346082285
|shap|_WeightedEnsemble_L3_TS10,13250.461310050683
rashomon_σ_TS4,11398.180294218473
|shap|_LightGBMXT_BAG_L2_TS10,11311.239585708361
rashomon_σ_TS3,8925.659337729216
total_rashomon_σ,8182.3904025192605
|shap|_WeightedEnsemble_L2_TS7,7959.795727673918
rashomon_σ_TS7,7747.177480838727
rashomon_σ_TS5,7175.944377020001
rashomon_σ_TS8,6675.088485225104
|shap|_WeightedEnsemble_L3_TS9,6656.678472405532
|shap|_WeightedEnsemble_L3_TS6,6336.024560928345
|shap|_LightGBMXT_BAG_L2_TS7,6306.941319506615
rashomon_σ_TS11,6180.296806395054
rashomon_σ_TS9,6155.7767429889645
|shap|_LightGBMXT_BAG_L2_TS5,5790.61627821438
total_|shap|_LightGBMXT_BAG_L2,5735.74262134733
|shap|_LightGBMXT_BAG_L2_TS6,5419.227669483749
|shap|_LightGBMXT_BAG_L2_TS2,5391.633121371269
mean_|shap|_TS9,5318.122256420553
rashomon_σ_TS12,5290.918670561747
rashomon_σ_TS6,5235.536705054343
mean_|shap|_TS3,5026.202910057269
mean_|shap|_TS7,4702.381831169128
|shap|_LightGBMXT_BAG_L2_TS8,4658.662742733955
|shap|_LightGBMXT_BAG_L2_TS4,4503.56201038952
total_|shap|_WeightedEnsemble_L2,4468.454039812088
mean_|shap|_TS10,4428.87293381989
|shap|_WeightedEnsemble_L2_TS6,4415.789221405983
|shap|_WeightedEnsemble_L3_TS8,4362.455133962445
|shap|_WeightedEnsemble_L3_TS7,4273.877751828171
|shap|_WeightedEnsemble_L2_TS11,4172.605593010783
|shap|_WeightedEnsemble_L3_TS4,3988.0999651169404
|shap|_LightGBMXT_BAG_L2_TS12,3969.793854231015
|shap|_WeightedEnsemble_L3_TS5,3899.550827458501
|shap|_LightGBMXT_BAG_L2_TS3,3686.4473882466555
|shap|_WeightedEnsemble_L2_TS4,3623.3403352349997
|shap|_WeightedEnsemble_L3_TS11,3499.635620518122
|shap|_LightGBMXT_BAG_L2_TS9,3127.3403629373643
total_|shap|_WeightedEnsemble_L3,3048.0454307571054
|shap|_WeightedEnsemble_L2_TS12,2973.4197812890634
|shap|_WeightedEnsemble_L2_TS3,2777.7244338444434
|shap|_WeightedEnsemble_L2_TS2,2705.768011339009
|shap|_WeightedEnsemble_L2_TS8,2299.046953551355
|shap|_WeightedEnsemble_L3_TS2,2262.52379339654
rashomon_σ_TS2,2260.51608886919
|shap|_WeightedEnsemble_L2_TS10,2214.1085675507784
|shap|_WeightedEnsemble_L3_TS3,1776.7185091953725
mean_|shap|_TS8,1384.5753070926294
mean_|shap|_TS4,1263.547216437757
mean_|shap|_TS2,986.1435317993164
mean_|shap|_TS11,934.6738164704293
mean_|shap|_TS6,212.60196582973003
