series,start,end,score,cluster
TS1,52020,52023,0.4912978937251762,1
TS1,21479,21482,0.4818214947032512,6
TS1,21488,21491,0.47790718417355305,3
TS1,35,38,0.33003775997169316,3
TS1,17716,17719,0.27659312463548946,6
TS1,17736,17739,0.2325472044775757,3
TS1,12341,12344,0.18589623775243685,2
TS1,52017,52020,0.13948642374841724,6
TS10,2180,2183,0.4746352241457371,2
TS10,60730,60733,0.45315495133393724,1
TS10,52021,52024,0.4305168258091723,1
TS10,46063,46066,0.4061738334536894,5
TS10,47989,47992,0.39900421904820305,1
TS10,9107,9110,0.36385647643038255,2
TS10,46072,46075,0.36091681569028167,1
TS10,17830,17833,0.35469387359377935,1
TS11,6289,6292,0.47444689357809156,5
TS11,6286,6289,0.4520498992886305,1
TS11,32144,32147,0.324742939735583,2
TS11,49507,49510,0.31306916082329395,5
TS11,23245,23248,0.3066441402379997,1
TS11,57535,57538,0.2715105643415676,1
TS11,6283,6286,0.2579539131268397,5
TS11,37693,37696,0.23835265934594108,1
TS12,11395,11398,0.4579195155164294,1
TS12,17416,17419,0.44872942369841284,1
TS12,57530,57533,0.44234514466385055,2
TS12,57533,57536,0.3925137967348712,6
TS12,35573,35576,0.3547175714934616,2
TS12,35644,35647,0.35300859101493,1
TS12,17717,17720,0.3430860767336702,2
TS12,45442,45445,0.3274729857707992,1
TS2,52020,52023,0.4671867069160268,1
TS2,34,37,0.4624101289353957,1
TS2,21479,21482,0.4258293976910592,6
TS2,21488,21491,0.4238604368123886,2
TS2,43871,43874,0.34017441815879557,4
TS2,22393,22396,0.3337920748483938,6
TS2,59711,59714,0.2916576720065943,4
TS2,17716,17719,0.2819730240370536,6
TS3,19718,19721,0.6749483952191361,5
TS3,3073,3076,0.6079645023917986,2
TS3,60436,60439,0.6034015170473743,5
TS3,9176,9179,0.5932073979745371,5
TS3,14668,14671,0.5877614163215438,5
TS3,13234,13237,0.5742859692758883,5
TS3,15773,15776,0.5379390010967643,2
TS3,9089,9092,0.5370141686284267,2
TS4,22392,22395,0.5010555706641522,5
TS4,9089,9092,0.49691872444859775,1
TS4,19055,19058,0.4534192690322819,4
TS4,43871,43874,0.44659755609175156,4
TS4,35,38,0.4365343128933451,3
TS4,59831,59834,0.40279560369184264,4
TS4,59711,59714,0.38365835423547545,4
TS4,43991,43994,0.3638507163742303,4
TS5,22393,22396,0.5028063011414436,4
TS5,14357,14360,0.4889822136546613,5
TS5,12275,12278,0.43442319047175115,2
TS5,52020,52023,0.3851534824907449,1
TS5,44323,44326,0.3802752995686166,5
TS5,46061,46064,0.3545241869091782,2
TS5,35,38,0.3290010507263429,3
TS5,23183,23186,0.2959752359573983,4
TS6,22393,22396,0.4572582407197777,4
TS6,33623,33626,0.4029298751845459,4
TS6,21488,21491,0.40217607927937726,3
TS6,43991,43994,0.3536308721995812,4
TS6,7,10,0.35058922220930877,4
TS6,46061,46064,0.32940459841525704,3
TS6,43703,43706,0.32541500622408315,4
TS6,17737,17740,0.2864045296976362,3
TS7,12082,12085,0.4229016256460316,4
TS7,22384,22387,0.3226734993085091,3
TS7,44025,44028,0.29378536017896006,4
TS7,60661,60664,0.28668046692280547,4
TS7,60678,60681,0.28410096147850783,5
TS7,60684,60687,0.2745466650230145,1
TS7,60641,60644,0.2707012892101165,4
TS7,52024,52027,0.21898618850751272,2
TS8,22384,22387,0.5623619154558026,3
TS8,22392,22395,0.47190404864591307,5
TS8,52024,52027,0.4056292121497532,2
TS8,52018,52021,0.38112823796056394,5
TS8,24154,24157,0.2950765024698889,6
TS8,12091,12094,0.2838993592893524,6
TS8,21488,21491,0.26287600670440836,3
TS8,44232,44235,0.23808346345697762,5
TS9,45754,45757,0.48287604017837604,5
TS9,46063,46066,0.46336231513849646,5
TS9,45778,45781,0.4363916775645611,1
TS9,45401,45404,0.4360741025071533,2
TS9,45758,45761,0.42303365235245205,2
TS9,45497,45500,0.4090952836626861,2
TS9,45797,45800,0.39270184964684096,6
TS9,46054,46057,0.3807632668994919,5
