series,n_implets,top_score,avg_score,total_coverage,avg_length
TS1,8,0.4912978937251762,0.3269484153984491,24,3.0
TS10,8,0.4746352241457371,0.40536902743814784,24,3.0
TS11,8,0.47444689357809156,0.32984627130974337,24,3.0
TS12,8,0.4579195155164294,0.3899741382033031,24,3.0
TS2,8,0.4671867069160268,0.3783604824257134,24,3.0
TS3,8,0.6749483952191361,0.5895652959944336,24,3.0
TS4,8,0.5010555706641522,0.4356037634289596,24,3.0
TS5,8,0.5028063011414436,0.39639262011501714,24,3.0
TS6,8,0.4572582407197777,0.3634760529911959,24,3.0
TS7,8,0.4229016256460316,0.29679700703443224,24,3.0
TS8,8,0.5623619154558026,0.36261984326658253,24,3.0
TS9,8,0.48287604017837604,0.42803727349375725,24,3.0
