feature,mean_anomaly,mean_normal,ratio,t_stat,p_value,cohens_d,r_pointbiserial,p_pointbiserial
lag_288,0.1218918462100229,0.1188012878641033,1.0260145188784056,1.1457068261905257,0.25256232890195657,0.05675393229500232,0.006996812128455583,0.25475623882445025
hour_sin,0.0978423807420813,0.09394544788179295,1.0414808055967937,5.065665592047323,6.069582865150093e-07,0.24022632846192601,0.028456354403818565,3.6087713933178605e-06
roll_mean_12,0.058712602390784456,0.060700434109944024,0.9672517709583577,-1.5119141899415265,0.1312985199914922,-0.0736156075449486,-0.00892766664503112,0.1461766857546247
day_of_week,0.007631179783632292,0.012064071205835058,0.6325542723870281,-13.458501742004248,4.394706956484799e-35,-0.43609078731033923,-0.042950993242584695,2.666149543208288e-12
lag_1,0.043409441475777764,0.04391400097669927,0.9885102816937763,-0.6865468908298012,0.4927443081923619,-0.03469008142575783,-0.004364699869984409,0.4774326274391374
hour,0.03038409817050523,0.029575977344574268,1.0273235544007884,1.8441644804686832,0.06585600580128223,0.09113389848856222,0.011208437550206887,0.06808634108868927
roll_min_12,0.027094540084993273,0.03004146359532077,0.9019047956509514,-7.062797676428511,6.6883020557192775e-12,-0.33986528897105706,-0.040749611042297,3.2340780529085224e-11
step,0.01059153861088887,0.01190335090631398,0.8897947052263009,-2.1836024161179144,0.0295419842827715,-0.11369172987591053,-0.014800085604677533,0.01599122219904983
hour_cos,0.00542736541334873,0.004236629907891456,1.281057239207825,5.696380800279726,2.3087196370320366e-08,0.31606243413894664,0.04497795056916492,2.3945417340674083e-13
is_weekend,0.003960684083332606,0.004225482618369737,0.937332948930862,-2.0976633034792647,0.03650596745319412,-0.0840299114482072,-0.008945350617206934,0.14537932153267002
