series,coverage_80%,expected_80%,coverage_50%,expected_50%
TS1,100.0,80.0,97.56944444444444,50.0
TS10,97.91666666666666,80.0,96.875,50.0
TS11,100.0,80.0,100.0,50.0
TS12,100.0,80.0,100.0,50.0
TS2,100.0,80.0,100.0,50.0
TS3,99.30555555555556,80.0,97.91666666666666,50.0
TS4,99.30555555555556,80.0,97.22222222222221,50.0
TS5,100.0,80.0,99.65277777777779,50.0
TS6,100.0,80.0,100.0,50.0
TS7,98.95833333333334,80.0,96.52777777777779,50.0
TS8,99.65277777777779,80.0,97.22222222222221,50.0
TS9,98.95833333333334,80.0,98.61111111111111,50.0
