,GBM_4_AutoML_1_20260313_181953,GBM_1_AutoML_1_20260313_181953,GBM_2_AutoML_1_20260313_181953,GBM_3_AutoML_1_20260313_181953,DRF_1_AutoML_1_20260313_181953
TS1_lag_1,109457.515625,96192.5078125,125649.1015625,78245.78125,449890.375
TS1_lag_2,51419.65234375,64493.25390625,29675.392578125,52545.65625,311482.65625
TS1_lag_3,903.2892456054688,10260.6962890625,989.240478515625,41909.48046875,221865.796875
TS1_rmax_12,1970.322021484375,1176.4232177734375,1899.451416015625,125.32952880859375,194200.46875
TS1_ewm_12,9504.1435546875,31.119272232055664,13883.12890625,325.2582092285156,162036.734375
TS1_lag_6,2.696686029434204,0.8457005023956299,0.5219313502311707,2.007624864578247,78152.8359375
TS1_rmean_12,22.98812484741211,11.700261116027832,17.08048439025879,54.89365768432617,57272.015625
TS1_rmin_12,24.46261978149414,25.74823760986328,21.891328811645508,44.19744110107422,28032.939453125
TS2,600.25390625,1107.3350830078125,819.4786376953125,465.5842590332031,15668.9228515625
TS2_lag_1,189.6832275390625,283.8828125,162.98228454589844,366.6216125488281,14511.32421875
TS1_diff_1,1029.523193359375,1068.9876708984375,1094.2794189453125,956.6111450195312,4237.76904296875
TS6,12.365700721740723,771.2741088867188,1166.7801513671875,36.43246078491211,5208.20947265625
TS6_lag_1,1.6165430545806885,1.3605632781982422,0.33946987986564636,108.46463775634766,3429.71533203125
TS1_lag_288,9.56385612487793,13.0718355178833,6.185744285583496,4.96791934967041,3133.782470703125
TS2_rmean_12,49.294918060302734,49.65099334716797,43.46757125854492,40.95979309082031,2819.228271484375
TS1_diff_12,305.4193115234375,84.23060607910156,81.39642333984375,280.7774963378906,2135.66845703125
tod_sin,5.7624640464782715,4.446025848388672,4.464097499847412,48.909297943115234,705.2365112304688
TS1_diff_288,27.804990768432617,26.11835479736328,26.225784301757812,24.85964012145996,345.2497253417969
TS1_lag_12,23.219770431518555,11.946066856384277,8.250441551208496,15.805089950561523,316.8949279785156
TS1_rstd_12,2.866914749145508,12.340156555175781,8.253067016601562,9.03398323059082,234.2500457763672
