,mean_abs_shap
TS1_lag_1,0.28785996320814594
TS1_lag_2,0.20171175202004815
TS1_lag_3,0.1157974021128757
TS1_rmax_12,0.08528123295214024
TS1_ewm_12,0.0639181040562689
TS2,0.04416408224067523
TS2_lag_1,0.03484970826865648
TS1_diff_1,0.030120867266494045
TS1_rmean_12,0.02752845667637639
TS1_lag_6,0.02331905091414223
TS6,0.019759474960885377
TS1_rmin_12,0.016456623946531135
TS1_diff_12,0.011373039999412823
TS6_lag_1,0.008348458501745834
TS1_lag_288,0.007909240796745461
TS2_rmean_12,0.007479466490688381
TS8,0.0041443569518132654
TS1_rstd_72,0.0031326010386272937
tod_sin,0.0031147085878000763
TS1_diff_288,0.002738015955847251
